objid,run,rerun,camcol,field,obj,type,ra,dec,u,g,r,i,z,Err_u,Err_g,Err_r,Err_i,Err_z
1.23767096430828E+018,5935,301,2,105,505,6,132.39270170183,11.5952225342098,22.47291,25.13336,24.99173,25.54063,24.25908,0.246096,0.5397169,0.6898001,0.4248036,0.3156821
1.23767096430828E+018,5935,301,2,105,508,6,132.398487495889,11.6077270082218,22.33728,24.94427,24.80798,24.8979,22.22054,0.2197863,0.5374201,0.7056752,0.6266909,0.556838
1.23767096430828E+018,5935,301,2,105,511,6,132.400875807831,11.6062983243045,22.44392,26.20381,24.87641,23.91728,22.94911,0.2421533,0.3438158,0.6991338,0.6529872,0.6359417
1.23767096430828E+018,5935,301,2,105,516,6,132.412375326805,11.6066415551127,22.49691,25.56297,24.76222,24.05924,23.34358,0.253108,0.4963747,0.6958326,0.6803688,0.5728179
1.23767096430828E+018,5935,301,2,105,518,6,132.403976610238,11.6424653978954,21.88563,25.16817,24.32256,23.37993,22.15709,0.1557087,0.549695,0.641174,0.4916592,0.5401632
1.23767096430828E+018,5935,301,2,105,520,6,132.416849906458,11.6018608933533,22.46376,24.61827,24.94721,24.81739,23.13733,0.2425861,0.4963005,0.6907519,0.646503,0.6141013
1.23767096430828E+018,5935,301,2,105,777,6,132.3876106276,11.6328016105023,24.30968,21.55547,20.238,19.05939,18.37256,0.8248662,0.05018316,0.02693785,0.01529578,0.02691055
1.23767096430828E+018,5935,301,2,105,780,6,132.401167421046,11.5942697154054,25.27226,21.53481,20.18036,19.5532,19.05122,0.6877466,0.04806936,0.02561439,0.02151128,0.04521937
1.23767096430828E+018,5935,301,2,105,794,6,132.386189344745,11.6726062973749,24.81086,22.52797,21.04037,19.97444,19.42836,0.8905258,0.1198236,0.05352443,0.03187487,0.06707379
1.23767096430828E+018,5935,301,2,105,800,6,132.400973453295,11.6314161913436,24.70104,22.55156,21.08657,19.8352,19.10865,0.9022992,0.1199979,0.05526201,0.02837945,0.05111614
1.23767096430828E+018,5935,301,2,105,806,6,132.387766485615,11.6877672166542,24.02247,23.07163,21.99788,21.21975,21.23272,0.8189777,0.1947632,0.1258062,0.09425948,0.3271048
1.23767096430828E+018,5935,301,2,105,808,6,132.400544074093,11.6442376793972,23.73336,22.86306,23.10627,22.29934,21.65888,0.6998529,0.1605377,0.3200839,0.2356122,0.4439687
1.23767096430828E+018,5935,301,2,105,811,6,132.389398677443,11.6948651359619,23.73532,22.73714,21.43635,19.9411,19.17151,0.6741763,0.1415176,0.07441318,0.03068885,0.05362865
1.23767096430828E+018,5935,301,2,105,937,6,132.375466856799,11.6897765029615,25.61886,23.90943,22.48682,22.9084,23.10975,0.5902174,0.3437312,0.1742611,0.3569889,0.6286393
1.23767096430828E+018,5935,301,2,105,939,6,132.394330646516,11.6320388602485,25.57166,23.81385,22.13991,21.10088,20.43801,0.5956901,0.31107,0.1270822,0.07485639,0.1466223
1.23767096430828E+018,5935,301,2,105,948,6,132.387504677686,11.6911265580415,25.09031,23.48915,22.40924,22.12879,21.68793,0.8128483,0.2615445,0.1688656,0.1944111,0.4309806
1.23767096430828E+018,5935,301,2,105,1025,6,132.373773280057,11.6554506830815,25.38366,24.2176,23.76023,21.30129,20.15636,0.7207416,0.4450955,0.5135801,0.09709141,0.1248188
1.23767096430828E+018,5935,301,2,105,1026,6,132.363021060441,11.6945638951332,24.49416,23.75341,23.1308,22.04804,23.05861,0.9373301,0.3193055,0.3107471,0.1822132,0.6608926
1.23767096430828E+018,5935,301,2,105,1031,6,132.392477126903,11.6276315557499,26.13611,24.24064,23.69454,22.07513,21.42364,0.3829605,0.4138833,0.4552659,0.1753332,0.33327
